45
0	104	0	0
144	106	0	0
288	110	0	0
432	381	0	0
576	287	0	0
720	182	0	0
864	177	0	0
1008	167	0	0
1152	184	0	0
1296	640	0	0
1440	534	0	0
1584	311	0	0
1728	512	0	0
1872	413	0	0
2016	381	0	0
2160	635	0	0
2304	713	0	0
2448	693	0	0
2592	424	0	0
2736	388	0	0
2880	377	0	0
3024	353	0	0
3168	508	0	0
3312	391	0	0
3456	333	0	0
3600	321	0	0
3744	551	0	0
3888	367	0	0
4032	287	0	0
4176	232	0	0
4320	202	0	0
4464	192	0	0
4608	363	0	0
4752	251	0	0
4896	424	0	0
5040	347	0	0
5184	662	0	0
5328	889	0	0
5472	2220	0	0
5616	2730	0	0
5760	993	0	0
5904	534	0	0
6048	363	0	0
6192	302	0	0
6336	275	0	0
