45
0	400	23.5
144	263	23.82
288	126	23.95
432	462	23.47
576	459	25.1
720	389	24.53
864	424	24.29
1008	354	24.18
1152	526.5	24.2
1296	699	25.64
1440	794	26.22
1584	764	25.58
1728	634	25.7
1872	504	25.8
2016	492	25.28
2160	490	25.86
2304	807	26.54
2448	827	26.41
2592	835	26
2736	813	25.77
2880	798	25.81
3024	784	25.83
3168	771	25.97
3312	630	25.94
3456	489	25.27
3600	498	25.23
3744	501	26.15
3888	474	25.51
4032	471	25.18
4176	492	24.78
4320	471	24.64
4464	461	24.47
4608	462	24.68
4752	475	24.97
4896	468	24.63
5040	469	25.2
5184	670	25.46
5328	2304	26.39
5472	3920	29.46
5616	2700	30.1
5760	1290	28.88
5904	783	27.14
6048	763	26.12
6192	435	25.55
6336	471	25.11
