61
0.0	441.0	23.8
6.0	441.0	23.8
12.0	441.0	23.8
18.0	441.0	23.8
24.0	441.0	23.8
30.0	441.0	23.8
36.0	441.0	23.8
42.0	441.0	23.8
48.0	441.0	23.8
54.0	441.0	23.8
60.0	441.0	23.8
66.0	441.0	23.8
72.0	441.0	23.8
78.0	441.0	23.8
84.0	441.0	23.8
90.0	441.0	23.8
96.0	441.0	23.8
102.0	441.0	23.8
108.0	441.0	23.8
114.0	441.0	23.8
120.0	441.0	23.8
126.0	441.0	23.8
132.0	441.0	23.8
138.0	441.0	23.8
144.0	461.0	23.8
150.0	461.0	23.8
156.0	461.0	23.8
162.0	461.0	23.8
168.0	461.0	23.8
174.0	461.0	23.8
180.0	461.0	23.8
186.0	461.0	23.8
192.0	461.0	23.8
198.0	461.0	23.8
204.0	461.0	23.8
210.0	461.0	23.8
216.0	461.0	23.8
222.0	461.0	23.8
228.0	461.0	23.8
234.0	461.0	23.8
240.0	461.0	23.8
246.0	461.0	23.8
252.0	461.0	23.8
258.0	461.0	23.8
264.0	461.0	23.8
270.0	461.0	23.8
276.0	461.0	23.8
282.0	461.0	23.8
288.0	461.0	23.8
294.0	461.0	23.8
300.0	461.0	23.8
306.0	461.0	23.8
312.0	461.0	23.8
318.0	461.0	23.8
324.0	461.0	23.8
330.0	461.0	23.8
336.0	461.0	23.8
342.0	461.0	23.8
348.0	461.0	23.8
354.0	461.0	23.8
360.0	461.0	23.8
